Name,Locality,State,Country,Latitude,Longitude,Room Type,Guest Count,Price,Ratings
6BHK Celebrity Ultra Luxury Villa at Baga,Calangute,Goa,India,15.54723,73.76524,Entire villa,14,842,0
Valley Meadows Farm,Assonora,Goa,India,15.62133,73.89804,Room in boutique hotel,16,1022,0
Farmhouse for wedding and pre-wedding function !!!,New Delhi,Delhi,India,28.43832,77.18967,Farm stay,16,1203,0
Unique Breathtaking Luxury Villa with Party Room,Gauravaddo,Goa,Goa,15.535,73.767,Entire home,10,888,4.33
Farm resort (AC halls avb./16 rooms/40 ppl stay),Gurugram,Haryana,India,28.36638,77.00665,Farm stay,16,1311,0
PRE-WEDDING @ EXQUISITE PRIVATE FARM,New Delhi,Delhi,India,28.44808,77.18313,Farm stay,16,1203,0
8 Bedroom Luxury Private Pool Villa ! Breakfast,North Goa,Goa,India,15.55636,73.78057,Entire villa,16,842,0
"Escape to Paradise, Your Group Getaway 12-36 Pax",Goa,Goa,India,15.535,73.767,Entire villa,16,978,5.0
ChaCha Villa,Abu Road,Rajasthan,India,24.53351,72.79282,Entire bungalow,12,1082,0
9 Luxury Heritage Boutique stay in Fontainhas Goa,Panjim,Goa,India,15.49783,73.83033,Room in heritage hotel,16,842,0
7 BedRoom Villa on the Chapora River in Colvale,Colovale,Goa,India,15.64852,73.81753,Entire villa,10,962,4.6
Natural Pearl Farms,Kukas,Rajasthan,India,27.08777,75.88661,Farm stay,8,842,0
ULTRA LUXURIOUS MANSION with Private Discotheque,Nandgaon,Maharashtra,India,18.77551,73.4101,Entire villa,16,902,0
Ultimate 9 BHK Beach Villa on Candolim Beach,Candolim,Goa,India,15.51716,73.76421,Entire villa,16,1153,0
6BHK Private Villa with Infinity pool and Sea view,Barashiv,Maharashtra,India,18.48283,72.90424,Entire villa,16,1203,0
"Hamsa Villas, Candolim Beach, Goa (Casa Sea Vista)",Candolim,Goa,India,15.52253,73.76319,Entire villa,12,1143,5.0
Luxurious Serviced 6BHK Villa on Candolim Beach,Candolim,Goa,India,15.5164,73.76705,Entire home,12,798,4.8
StayVista at Cowboy Castle -7BR w/ Panoramic View,Mahabaleshwar,Maharashtra,India,17.92426,73.73543,Entire villa,16,784,0
Heritage-Portuguese Luxurious Villa in South Goa,Ambelim,Goa,India,15.17409,73.97429,Entire villa,16,902,0
Shambhala by the ganges,Rishikesh,Uttarakhand,India,30.12978,78.3307,Entire villa,12,1503,0
"Private Room  For LONG STAY  with attached bath,",Delhi,Delhi,India,28.66944,77.20366,Private room in bed and breakfast,2,1924,0
Walking Distance  to Golden Temple,Amritsar Cantt.,Punjab,India,31.6253,74.8819,Room in hotel,2,36079,3.75
StayVista at Vyoman,Lonavla,Maharashtra,India,18.70196,73.45204,Entire villa,16,1481,0
Beachfront 6+1BDR Luxury Villa With Private Pool.,Calangute,Goa,India,15.5351,73.75755,Entire home,12,897,4.78
Dwaraka Residency Quad Occupancy Room,Vijayawada,Andhra Pradesh,India,16.47665,80.70571,Room in hotel,4,3041,0
Birdsong Moira | A Unique Homestay Experience,Moira,Goa,India,15.60049,73.83723,Entire villa,15,962,0
"Art -inspired , Designer Calangute Beach Villa",Calangute Beach,Goa,India,15.54855,73.75427,Entire villa,16,782,0
Dwaraka Residency Double Room Near Anjaneya Swamy Poranki Vijayawada,Vijayawada,Andhra Pradesh,India,16.47685,80.70631,Room in hotel,2,3033,0
Luxury Boutique Hotel.,Goa,Goa,India,15.31553,73.91299,Room in boutique hotel,16,880,4.94
"Vedantha@33-Beach Front Pool Villa.ECR
9884458888",Chennai,Tamil Nadu,India,12.94891,80.26171,Entire home,16,893,5.0
12 Bedroom Luxurious Heritage Villa with Pool.,Sangolda,Goa,India,15.54477,73.80395,Entire bungalow,16,1563,0
Aashiyaana Villa Heritage Luxury Villa With Pool,Lonavala,Maharashtra,India,18.76805,73.41268,Entire villa,15,1203,0
CALANGUTE 2BHK NO:8,Calangute,Goa,India,15.537,73.768,Entire rental unit,8,3007,4.25
"Hotel Doon's Pride, Dehradun-Superior Room",Dehradun,Uttarakhand,India,30.31502,78.03482,Room in hotel,3,1581,0
"Hotel Doon's Pride, Dehradun-Deluxe Room",Dehradun,Uttarakhand,India,30.31512,78.03483,Room in hotel,3,1756,0
Dwaraka Residency Triple Room Near Anjaneya Swamy Poranki Vijayawada,Vijayawada,Andhra Pradesh,India,16.47528,80.70549,Room in hotel,3,3041,0
Serene Voyage 5 bhk in Assagao,Vagator,Goa,India,15.60224,73.78022,Entire home,14,998,4.64
A glamorous 4 B/R Villa with gorgeous views+BBQ,Nilgiris,Tamil Nadu,India,11.33,76.803,Entire villa,10,993,0
Villa Azul by Lohono Stays,Vagator,Goa,India,15.59941,73.7575,Entire villa,10,940,0
Private Villa with Pool by the beach,Mandrem,Goa,Goa,15.66367,73.71241,Entire villa,16,902,3.83
54 foot 3BR Luxury Yacht Mumbai Harbour,Mumbai,Maharashtra,India,18.92181,72.83607,Boat,10,1924,0
coconut villa 3 bhk,Alibag,Maharashtra,India,18.64594,72.89102,Entire villa,12,1804,0
"Hamsa Villas, Manali",Manali,Himachal Pradesh,India,32.2409,77.18879,Entire home,12,1744,4.83
"Hamsa Villas, Candolim Beach, Goa (Casa Sea Esta)",Calangute,Goa,India,15.53091,73.76345,Entire villa,12,1082,0
Peeli Kothi is ideal 4 shooting with heritagelook,Ashapura,Rajasthan,India,26.29586,74.73548,Farm stay,2,2405,0
Cherry Flower.,Mahagaon,Maharashtra,India,18.697,73.506,Entire bungalow,16,1546,4.53
14 room Luxury Beach Villa with two large Pools,Kihim,Maharashtra,India,18.73272,72.86783,Entire villa,16,1674,0
"Bara Bungalow Kalwar, Jaipur (Entire Bungalow)",Kalwar,Rajasthan,India,26.98848,75.58298,Entire bungalow,16,1082,0
Eternia Villa | Exclusive Pool | Modernised | 7BHK,Reis Magos,Goa,India,15.50182,73.81186,Entire villa,14,3007,0
StayVista at Casa Bella- Luxury Villa W/Sea View,Alibaug,Maharashtra,India,18.65904,72.87707,Entire villa,16,842,4.0
Suite 2 (The Himalayan Living Whispering Oaks),Ramgarh,Uttarakhand,India,29.42102,79.54799,Room in hotel,3,4381,0
Premium Deluxe Room,Janedghat,Himachal Pradesh,India,30.99192,77.20999,Room in hotel,3,4351,0
8 rooms @Castle Oodeypore,Bujra,Rajasthan,India,24.561,73.637,Private room in castle,16,962,0
Entire Suite Villa (The Himalayan Living Whispering Oaks),Ramgarh,Uttarakhand,India,29.42237,79.54729,Room in hotel,6,4381,0
Destination Wedding Venue,New Delhi,Delhi,India,28.49698,77.13752,Farm stay,16,4209,0
The best place to stay in South Kolkata,Kolkata,West Bengal,India,22.516,88.351,Entire condo,4,6013,4.27
Defence Colony A Block Apartment with elevator.,New Delhi,Delhi,India,28.575,77.232,Entire rental unit,6,4209,4.91
"A cozy, centrally located Bed and Breakfast",Pune,Maharashtra,India,18.52454,73.87851,Private room in condo,2,4269,4.8
Balcony With Mountain View Westros Kasol,Kasol,Himachal Pradesh,India,32.00977,77.31291,Room in hotel,3,4470,0
HomesTel Non Ac Room,Patna,Bihar,India,25.59828,85.17635,Room in hotel,3,4418,0
Olive Glasshouse ~ Private Party Venue,New Delhi,Delhi,India,28.4963,77.15165,Entire place,16,4209,0
Swiss Luxury Tent,Khoohdi,Rajasthan,India,26.61888,70.70844,Room in hotel,4,4444,0
Olive 8 Glasshouse,New Delhi,Delhi,India,28.49611,77.15379,Farm stay,16,3608,0
Aalaya by Happy Retreats - Weddings-Family Getaway,Bengaluru,Karnataka,India,13.06573,77.4722,Farm stay,15,4209,0
Gypsy Divers Dive Resort-Standard Room,Govind Nagar,Andaman and Nicobar Islands,India,12.03632,92.99161,Room in hotel,3,5274,0
8 to 14 BR | Luxury | Single Key | Top Location,Assagao,Goa,India,15.59992,73.77924,Entire villa,16,4209,0
Spice Routes Houseboats - Cinnamon,Alappuzha,Kerala,India,9.46949,76.38729,Houseboat,6,698,0
Bougainvilla.. The perfect Getaway in Paradise,Mumbai,Maharashtra,India,19.16242,72.7834,Entire villa,8,601,4.96
Celebration: 6BHK Luxury Villa - Pool/Jaccuzi/Bar,Baga,Goa,India,15.56965,73.75761,Entire villa,14,661,5.0
TROPICAL VIBES 5BHK Luxury Beach House,Dona Paula,Goa,India,15.45279,73.80111,Entire villa,14,660,4.62
Private luxury 7BHK villa with swimming pool,Marna,Goa,India,15.615,73.78,Entire villa,16,598,4.8
Luxurious 5BHK Villa With a Caretaker in Assagao,Assagao,Goa,India,15.59117,73.77654,Entire villa,15,623,4.33
Pura Vida I by Hireavilla-5BR w Pvt pool in Anjuna,Anjuna,Goa,India,15.5804,73.75759,Entire villa,15,771,4.88
"Pool party, Function & Events @ Heritage Bungalow",Jaipur,Rajasthan,India,26.925,75.801,Entire bungalow,16,567,0
Falcon Hill -Infinity pool views near Lion's point,Lonavala,Maharashtra,India,18.67386,73.39413,Entire villa,15,624,5.0
Frangipani by Hireavilla-5BR Lux Estate in Alibaug,Alibag,Maharashtra,India,18.65748,72.87744,Entire home,15,701,4.47
ChaletShanagManali- 4 BR Chalet,Manali,Himachal Pradesh,India,32.28484,77.17409,Entire chalet,8,505,4.5
Cliffhouse by Hireavilla -5BR w Pvt pool in Saipem,Candolim,Goa,India,15.52543,73.78704,Entire villa,15,546,4.89
"Lux 2 Villa's with 2 cooks, Private Pool & Car",Brittona,Goa,India,15.52537,73.84675,Entire villa,16,754,4.67
Bougainvillea: Beautiful 6BHK Villa by Limestays,Zirad,Maharashtra,India,18.75593,72.8881,Entire villa,16,773,0
StayVista La Palm 8BR w/Pool/Steam & Sauna Room,Kune N.m.,Maharashtra,India,18.75698,73.39004,Entire villa,16,579,0
StayVista at Krishnalaya Mansion Jaipur city home!,Jaipur,Rajasthan,India,26.92502,75.79783,Entire villa,16,524,4.64
Serenity: 6BHK  Luxury Villa Pool/Parking (Baga),Baga,Goa,India,15.56983,73.75897,Entire villa,14,601,4.78
"Deck-4 Bed-Infinity Private Pool,Arpora @North Goa",Parra,Goa,India,15.57422,73.77815,Entire villa,10,545,4.57
Iraluxe,New Delhi,Delhi,India,28.4439,77.20693,Farm stay,4,541,0
Exotic beachfront 6BR private pool Ashvem,Arambol,Goa,India,15.64017,73.71949,Entire bungalow,16,518,0
Luxury 6Bhk Crescent Private Pool Villa Lonavala,Lonavla,Maharashtra,India,18.76709,73.41391,Entire home,15,523,4.56
Luxury Garden Villa Dehradun,Bhandar Gaon,Uttarakhand,India,30.40678,78.08064,Entire villa,11,527,4.7
StayVista at The Banyan Abode w/ Pool Table & TT,Gurugram,Haryana,India,28.29159,76.93283,Entire villa,16,574,4.57
Rah - 5 BHK Luxury Villa by Vio Stays in Assagao,Anjuna,Goa,India,15.591741677638089,73.76814340922766,Entire home,13,600,0
"Beutiful appartment near candolim beach, calangute",Candolim,Goa,India,15.5166,73.76937,Entire rental unit,4,601,4.54
8BHK 60 ML Chalet (can accommodate 40 paxs*),Lonavla,Maharashtra,India,18.73924,73.43787,Entire bungalow,16,519,5.0
Villa Helena Heritage Guest House - Full Villa,Puducherry,Puducherry,India,11.928,79.833,Private room in bed and breakfast,16,589,0
"Villa Arcadia 6BHK : Jacuzzi, Pool, Garden",Arpora,Goa,India,15.57131,73.75704,Entire villa,14,644,0
"Casa Pelo Mar, Goa",Candolim ,Goa,India,15.50387,73.77057,Entire villa,15,704,5.0
"The Goan Pool Villa, Amidst Mother Nature, Alibag",Alibag,Maharashtra,India,18.73712,72.87669,Farm stay,12,498,4.13
Serene Flores French Style Boutique Villa,Anjuna,Goa,India,15.5877,73.765,Entire villa,12,553,0
